congress,chamber,bioguide,firstname,middlename,lastname,suffix,birthday,state,party,incumbent,termstart,age
113,house,J000292,Bill,,Johnson,,1954-11-10,OH,R,Yes,2013-01-03,58.1
113,house,M001149,Michael,H.,Michaud,,1955-01-18,ME,D,Yes,2013-01-03,58.0
113,house,B001289,Bradley,,Byrne,,1955-02-16,AL,R,No,2013-01-03,57.9
113,house,G000549,Jim,,Gerlach,,1955-02-25,PA,R,Yes,2013-01-03,57.9
113,house,C001077,Mike,,Coffman,,1955-03-19,CO,R,Yes,2013-01-03,57.8
113,house,S000250,Pete,A.,Sessions,,1955-03-22,TX,R,Yes,2013-01-03,57.8
113,house,L000562,Stephen,F.,Lynch,,1955-03-31,MA,D,Yes,2013-01-03,57.8
113,house,P000597,Chellie,,Pingree,,1955-04-02,ME,D,Yes,2013-01-03,57.8
113,house,B000755,Kevin,P.,Brady,,1955-04-11,TX,R,Yes,2013-01-03,57.7
113,house,Y000065,Ted,S.,Yoho,,1955-04-13,FL,R,No,2013-01-03,57.7
113,house,K000220,Jack,,Kingston,,1955-04-24,GA,R,Yes,2013-01-03,57.7
113,house,C001064,John,Bayard Taylor,Campbell,III,1955-07-19,CA,R,Yes,2013-01-03,57.5
113,house,L000576,Billy,,Long,,1955-08-11,MO,R,Yes,2013-01-03,57.4
113,house,C001063,Henry,,Cuellar,,1955-09-19,TX,D,Yes,2013-01-03,57.3
113,house,F000454,Bill,,Foster,,1955-10-07,IL,D,No,2013-01-03,57.2
113,house,M001181,Patrick,,Meehan,,1955-10-20,PA,R,Yes,2013-01-03,57.2
113,house,B001252,John,,Barrow,,1955-10-31,GA,D,Yes,2013-01-03,57.2
113,house,B001269,Lou,,Barletta,,1956-01-28,PA,R,Yes,2013-01-03,56.9
113,house,B001255,Charles,W.,Boustany,Jr.,1956-02-21,LA,R,Yes,2013-01-03,56.9
113,house,R000587,Reid,J.,Ribble,,1956-04-05,WI,R,Yes,2013-01-03,56.7
113,house,B001256,Michele,Marie,Bachmann,,1956-04-06,MN,R,Yes,2013-01-03,56.7
113,house,L000566,Robert,E.,Latta,,1956-04-18,OH,R,Yes,2013-01-03,56.7
113,house,K000385,Robin,,Kelly,,1956-04-30,IL,D,No,2013-01-03,56.7
113,house,C001083,John,C.,Carney,,1956-05-20,DE,D,Yes,2013-01-03,56.6
113,house,H001045,Gregg,,Harper,,1956-06-01,MS,R,Yes,2013-01-03,56.6
113,house,M001177,Tom,,McClintock,,1956-07-10,CA,R,Yes,2013-01-03,56.5
113,house,C001049,Wm.,Lacy,Clay,Jr.,1956-07-27,MO,D,Yes,2013-01-03,56.4
113,house,M000485,Mike,,McIntyre,,1956-08-06,NC,D,Yes,2013-01-03,56.4
113,house,C001048,John,Abney,Culberson,,1956-08-24,TX,R,Yes,2013-01-03,56.4
113,house,K000382,Ann,M.,Kuster,,1956-09-05,NH,D,No,2013-01-03,56.3
113,house,T000470,Scott,R.,Tipton,,1956-11-09,CO,R,Yes,2013-01-03,56.2
113,house,S000937,Steve,,Stockman,,1956-11-14,TX,R,No,2013-01-03,56.1
113,house,F000043,Chaka,,Fattah,,1956-11-21,PA,D,Yes,2013-01-03,56.1
113,house,W000791,Greg,P.,Walden,,1957-01-10,OR,R,Yes,2013-01-03,56.0
113,house,H001052,Andy,,Harris,,1957-01-25,MD,R,Yes,2013-01-03,55.9
113,house,W000809,Steve,,Womack,,1957-02-18,AR,R,Yes,2013-01-03,55.9
113,house,J000295,David,P.,Joyce,,1957-03-17,OH,R,No,2013-01-03,55.8
113,house,H001036,Jeb,,Hensarling,,1957-05-29,TX,R,Yes,2013-01-03,55.6
113,house,F000448,Trent,,Franks,,1957-06-19,AZ,R,Yes,2013-01-03,55.5
113,house,D000197,Diana,L.,DeGette,,1957-07-29,CO,D,Yes,2013-01-03,55.4
113,house,A000210,Robert,E.,Andrews,,1957-08-04,NJ,D,Yes,2013-01-03,55.4
113,house,R000597,Tom,,Rice,,1957-08-04,SC,R,No,2013-01-03,55.4
113,house,C001075,Bill,,Cassidy,,1957-09-28,LA,R,Yes,2013-01-03,55.3
113,house,B001259,Bruce,L.,Braley,,1957-10-30,IA,D,Yes,2013-01-03,55.2
113,house,S000018,Matt,,Salmon,,1958-01-21,AZ,R,No,2013-01-03,55.0
113,house,B000287,Xavier,,Becerra,,1958-01-26,CA,D,Yes,2013-01-03,54.9
113,house,S000364,John,M.,Shimkus,,1958-02-21,IL,R,Yes,2013-01-03,54.9
113,house,G000556,Alan,,Grayson,,1958-03-13,FL,D,No,2013-01-03,54.8
113,house,G000568,H.,Morgan,Griffith,,1958-03-15,VA,R,Yes,2013-01-03,54.8
113,house,I000057,Steve,J.,Israel,,1958-05-30,NY,D,Yes,2013-01-03,54.6
113,house,A000369,Mark,E.,Amodei,,1958-06-12,NV,R,Yes,2013-01-03,54.6
113,house,P000608,Scott,H.,Peters,,1958-06-17,CA,D,No,2013-01-03,54.5
113,house,W000815,Brad,R.,Wenstrup,,1958-06-17,OH,R,No,2013-01-03,54.5
113,house,E000290,Donna,F.,Edwards,,1958-06-28,MD,D,Yes,2013-01-03,54.5
113,house,T000238,Mac,M.,Thornberry,,1958-07-15,TX,R,Yes,2013-01-03,54.5
113,house,R000575,Mike,,Rogers,,1958-07-16,AL,R,Yes,2013-01-03,54.5
113,house,K000380,Daniel,T.,Kildee,,1958-08-11,MI,D,No,2013-01-03,54.4
113,house,N000186,Alan,,Nunnelee,,1958-10-09,MS,R,Yes,2013-01-03,54.2
113,house,Q000023,Mike,,Quigley,,1958-10-17,IL,D,Yes,2013-01-03,54.2
113,house,G000565,Paul,A.,Gosar,,1958-11-22,AZ,R,Yes,2013-01-03,54.1
113,house,P000595,Gary,C.,Peters,,1958-12-01,MI,D,Yes,2013-01-03,54.1
113,house,R000586,James,B.,Renacci,,1958-12-03,OH,R,Yes,2013-01-03,54.1
113,house,P000604,Donald,M.,Payne,Jr.,1958-12-17,NJ,D,Yes,2013-01-03,54.0
113,house,V000128,Chris,,Van Hollen,Jr.,1959-01-10,MD,D,Yes,2013-01-03,54.0
113,house,W000804,Robert,J.,Wittman,,1959-02-03,VA,R,Yes,2013-01-03,53.9
113,house,M001144,Jeff,,Miller,,1959-06-27,FL,R,Yes,2013-01-03,53.5
113,house,G000548,Scott,,Garrett,,1959-07-09,NJ,R,Yes,2013-01-03,53.5
113,house,T000467,Glenn,,Thompson,,1959-07-27,PA,R,Yes,2013-01-03,53.4
113,house,M001187,Mark,,Meadows,,1959-07-28,NC,R,No,2013-01-03,53.4
113,house,E000293,Elizabeth,H.,Esty,,1959-08-25,CT,D,No,2013-01-03,53.4
113,house,H001038,Brian,M.,Higgins,,1959-10-06,NY,D,Yes,2013-01-03,53.2
113,house,R000593,Dennis,A.,Ross,,1959-10-18,FL,R,Yes,2013-01-03,53.2
113,house,L000580,Michelle,,Lujan Grisham,,1959-10-24,NM,D,No,2013-01-03,53.2
113,house,B001244,Jo,,Bonner,,1959-11-19,AL,R,Yes,2013-01-03,53.1
113,house,M000312,James,P.,McGovern,,1959-11-20,MA,D,Yes,2013-01-03,53.1
113,house,L000491,Frank,D.,Lucas,,1960-01-06,OK,R,Yes,2013-01-03,53.0
113,house,S000030,Loretta,B.,Sanchez,,1960-01-07,CA,D,Yes,2013-01-03,53.0
113,house,T000463,Michael,R.,Turner,,1960-01-11,OH,R,Yes,2013-01-03,53.0
113,house,M001142,Jim,,Matheson,,1960-03-21,UT,D,Yes,2013-01-03,52.8
113,house,D000604,Charles,W.,Dent,,1960-05-24,PA,R,Yes,2013-01-03,52.6
113,house,S000051,Marshall,,Sanford,,1960-05-28,SC,R,No,2013-01-03,52.6
113,house,R000589,E.,Scott,Rigell,,1960-05-28,VA,R,Yes,2013-01-03,52.6
113,house,S001150,Adam,B.,Schiff,,1960-06-22,CA,D,Yes,2013-01-03,52.5
113,house,L000578,Doug,,LaMalfa,,1960-07-02,CA,R,No,2013-01-03,52.5
113,house,S001192,Chris,,Stewart,,1960-07-15,UT,R,No,2013-01-03,52.5
